,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.5637583892617449,0.47560975609756095,0.2125,0.5046040515653776,0.4172893817864353,0.4861245263390012,0.3798898071625344
recall,0.5562913907284768,0.4314159292035398,0.11038961038961038,0.45289256198347105,0.366032310107209,0.45289256198347105,0.45289256198347105
f1-score,0.5599999999999999,0.45243619489559167,0.14529914529914528,0.47735191637630664,0.3859117800649123,0.4670390317924593,0.40358126721763077
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
