,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7931345980126467,0.23115577889447236,0.0625,0.5342671335667833,0.36226345896903966,0.6409202482056026,0.39098837209302323
recall,0.4872364039955605,0.40707964601769914,0.03896103896103896,0.4435215946843854,0.3110923629914329,0.4435215946843854,0.4435215946843854
f1-score,0.603643863870746,0.2948717948717948,0.048,0.4846834581347856,0.31550521958084693,0.5101496237446577,0.40836101882613507
support,1802.0,452.0,154.0,2408.0,2408.0,2408.0,2408.0
