,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7064496684749849,0.6944444444444444,0.0,0.7061946902654868,0.46696470430647646,0.643449331901928,0.6599558742415885
recall,0.9710024855012428,0.05530973451327434,0.0,0.6602316602316602,0.3421040733381724,0.6602316602316602,0.6602316602316602
f1-score,0.8178646196789952,0.10245901639344261,0.0,0.6824401368301026,0.3067745453574792,0.5700353399682202,0.6600478029049457
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
