,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8385922330097088,0.1835236541598695,0.06285714285714286,0.5306657920629715,0.3616576766755737,0.7006260306446281,0.44776449756529435
recall,0.5743973399833749,0.497787610619469,0.07142857142857142,0.5371845949535192,0.3812045073438051,0.5371845949535193,0.5371845949535192
f1-score,0.6817957572767637,0.26817640047675806,0.0668693009118541,0.5339052961557498,0.3389471528884586,0.5882849260836035,0.47703629924745466
support,2406.0,452.0,154.0,3012.0,3012.0,3012.0,3012.0
