,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6710982658959538,0.3333333333333333,0.0,0.6194906953966699,0.33481053307642905,0.5299632700490512,0.6267916207276737
recall,0.9610927152317881,0.23008849557522124,0.0,0.697353914002205,0.3970604036023364,0.697353914002205,0.697353914002205
f1-score,0.7903335602450647,0.27225130890052357,0.0,0.6561203319502074,0.35419495638186277,0.5941458282244073,0.6503123851525175
support,1208.0,452.0,154.0,1814.0,1814.0,1814.0,1814.0
