,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8252990213845596,0.5161290322580645,0.0,0.802755376344086,0.4471426845475414,0.736559119695701,0.7914865314266711
recall,0.9483548521449396,0.24778761061946902,0.0,0.794479547721982,0.3987141542548029,0.794479547721982,0.794479547721982
f1-score,0.8825581395348837,0.33482810164424515,0.0,0.7985960220625105,0.40579541372637634,0.7550264033809294,0.7924842035251081
support,2401.0,452.0,154.0,3007.0,3007.0,3007.0,3007.0
