,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8023728813559322,0.6666666666666666,0.0,0.8016863406408095,0.4896798493408663,0.7407790663098425,0.7918054630246503
recall,0.9878964941569283,0.022123893805309734,0.0,0.7918054630246503,0.3366734626540793,0.7918054630246503,0.7918054630246503
f1-score,0.8855218855218856,0.042826552462526764,0.0,0.7967152673035025,0.30944947932813743,0.7132138705607928,0.7918054630246503
support,2396.0,452.0,154.0,3002.0,3002.0,3002.0,3002.0
