,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7974598930481284,0.3333333333333333,0.0,0.7956058588548602,0.37693107546048726,0.6866690774183818,0.7941372418387741
recall,0.9958263772954925,0.008849557522123894,0.0,0.7961359093937375,0.3348919782725388,0.7961359093937375,0.7961359093937375
f1-score,0.8856718634001485,0.017241379310344827,0.0,0.7958707958707959,0.3009710809034978,0.7094813085126688,0.7948034643570953
support,2396.0,452.0,154.0,3002.0,3002.0,3002.0,3002.0
