,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6708482676224612,0.3333333333333333,0.09302325581395349,0.5922930542340628,0.36573495225658265,0.537473445912248,0.6054665930425179
recall,0.9319502074688797,0.252212389380531,0.05194805194805195,0.6874654886802871,0.4120368829324876,0.6874654886802871,0.6874654886802871
f1-score,0.7801319902744009,0.2871536523929471,0.06666666666666665,0.6363404037822642,0.37798410311133823,0.5964214057586593,0.6327995582551077
support,1205.0,452.0,154.0,1811.0,1811.0,1811.0,1811.0
