,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8009153318077803,0.6701030927835051,0.75,0.7770859277708593,0.7403394748637618,0.7639572230123219,0.6859823399558499
recall,0.8706467661691543,0.4314159292035398,0.01948051948051948,0.6887417218543046,0.4405144049510712,0.6887417218543046,0.6887417218543046
f1-score,0.834326579261025,0.5248990578734858,0.0379746835443038,0.7302516091281451,0.46573344022627156,0.6894593432745224,0.6869021339220014
support,1206.0,452.0,154.0,1812.0,1812.0,1812.0,1812.0
