,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.5417218543046357,0.5031055900621118,0.1896551724137931,0.5127753303964758,0.4114942055935136,0.4824881183965279,0.41790633608815425
recall,0.6771523178807947,0.3584070796460177,0.07142857142857142,0.4809917355371901,0.36899598965179464,0.4809917355371901,0.4809917355371901
f1-score,0.6019131714495953,0.41860465116279066,0.10377358490566037,0.4963752665245203,0.37476380250601554,0.47003800822860226,0.4385674931129476
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
