,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8257902298850575,0.5269461077844312,0.0,0.8088783463232803,0.45091211255649616,0.7385773138252696,0.7928167608912537
recall,0.9575177009579342,0.19469026548672566,0.0,0.7938144329896907,0.3840693221482199,0.7938144329896907,0.7938144329896907
f1-score,0.8867888138862102,0.284329563812601,0.0,0.8012755958375294,0.3903727925662704,0.7508137362767164,0.7931493182573994
support,2401.0,452.0,154.0,3007.0,3007.0,3007.0,3007.0
