,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6826394344069128,0.3185840707964602,0.12658227848101267,0.5836782968657599,0.37593526122812854,0.5444915457462208,0.4857353211853488
recall,0.7211618257261411,0.23893805309734514,0.06493506493506493,0.545002760905577,0.3416783145861837,0.545002760905577,0.545002760905577
f1-score,0.7013720742534302,0.27307206068268014,0.08583690987124463,0.5636778983438036,0.353427014935785,0.5421318636245867,0.5051536904104545
support,1205.0,452.0,154.0,1811.0,1811.0,1811.0,1811.0
