,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7545339519190215,0.6666666666666666,0.0,0.7543121581825831,0.47373353952856273,0.6899999115508122,0.7419288079470199
recall,0.9883977900552486,0.008849557522123894,0.0,0.742135761589404,0.33241578252579085,0.742135761589404,0.742135761589404
f1-score,0.8557761301124134,0.017467248908296942,0.0,0.7481744210306697,0.2910811263402368,0.6443915529842792,0.7419977924944812
support,1810.0,452.0,154.0,2416.0,2416.0,2416.0,2416.0
