,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8184538653366583,0.5745614035087719,1.0,0.7936436884512086,0.7976717562818102,0.7843405618507338,0.7340381426202321
recall,0.9086378737541528,0.28982300884955753,0.006493506493506494,0.7350746268656716,0.4016514630324057,0.7350746268656716,0.7350746268656716
f1-score,0.8611912883757543,0.38529411764705884,0.012903225806451613,0.7632371932845459,0.41979621060975497,0.7178488825693518,0.7343836373687119
support,1806.0,452.0,154.0,2412.0,2412.0,2412.0,2412.0
