,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.710204081632653,0.3150684931506849,0.13793103448275862,0.5791527313266444,0.3877345364220322,0.563082550879794,0.49678249678249675
recall,0.7207953603976802,0.3561946902654867,0.05194805194805195,0.5730832873690016,0.3763127008704063,0.5730832873690016,0.5730832873690016
f1-score,0.7154605263157896,0.3343717549325026,0.07547169811320754,0.5761020238425284,0.3751013264538332,0.5660890954231016,0.5216951645523074
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
