,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6916715888954519,0.7674418604651163,0.0,0.6935483870967742,0.4863711497868561,0.6518098889834766,0.6640926640926641
recall,0.9701739850869926,0.07300884955752213,0.0,0.6640926640926641,0.34772761154817156,0.6640926640926641,0.6640926640926641
f1-score,0.8075862068965518,0.13333333333333333,0.0,0.6785009861932939,0.31363984674329504,0.57088980606222,0.6640926640926641
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
