,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.789553368660106,0.6222222222222222,0.8,0.7574649603900061,0.7372585302941094,0.7487233096619925,0.6822945394373966
recall,0.8641259320629661,0.4336283185840708,0.025974025974025976,0.685603971318257,0.4412427588736876,0.685603971318257,0.685603971318257
f1-score,0.8251582278481012,0.5110821382007823,0.050314465408805034,0.7197452229299363,0.46218494381922953,0.6810389052136612,0.6833976833976834
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
