,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8216855087358684,0.21893491124260356,0.07207207207207207,0.5974112180550946,0.37089749735018135,0.6927776525334156,0.5217126398582032
recall,0.66541822721598,0.4092920353982301,0.1038961038961039,0.5982053838484547,0.3928687888367713,0.5982053838484547,0.5982053838484547
f1-score,0.7353414578063923,0.28527370855821127,0.0851063829787234,0.5978080371969445,0.3685738497811089,0.6344551752594867,0.5467486429600089
support,2403.0,452.0,154.0,3009.0,3009.0,3009.0,3009.0
