,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7122699386503067,0.6888888888888889,0.0,0.7116417910447761,0.4670529425130652,0.645902496572874,0.6578366445916115
recall,0.9626865671641791,0.06858407079646017,0.0,0.6578366445916115,0.3437568793202131,0.6578366445916115,0.6578366445916115
f1-score,0.8187588152327222,0.12474849094567403,0.0,0.6836822483510181,0.31450243539279876,0.5760537798444303,0.6578366445916115
support,1206.0,452.0,154.0,1812.0,1812.0,1812.0,1812.0
