,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.80703125,0.6319218241042345,0.7142857142857143,0.7728983688833124,0.7177462627966497,0.7554681854277672,0.6771523178807947
recall,0.8565505804311775,0.42920353982300885,0.032467532467532464,0.6799116997792495,0.43940721757390633,0.6799116997792495,0.6799116997792495
f1-score,0.8310539018503621,0.5111989459815547,0.062111801242236024,0.7234292425132121,0.46812154969138425,0.685915091946194,0.6780721118469462
support,1206.0,452.0,154.0,1812.0,1812.0,1812.0,1812.0
