,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6561264822134387,0.7256637168141593,1.0,0.665903890160183,0.7939300663425327,0.7258680952536504,0.4809917355371901
recall,0.8245033112582781,0.18141592920353983,0.012987012987012988,0.4809917355371901,0.339635417816277,0.4809917355371901,0.4809917355371901
f1-score,0.7307410124724872,0.29026548672566377,0.025641025641025647,0.5585412667946257,0.34888250827972556,0.47645974337363656,0.4809917355371901
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
