,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.5015479876160991,0.39828693790149894,0.08823529411764706,0.4159566227730441,0.329356739878415,0.4103710047485281,0.3933884297520661
recall,0.2682119205298013,0.8230088495575221,0.01948051948051948,0.44380165289256196,0.3702337631892809,0.44380165289256196,0.44380165289256196
f1-score,0.34951456310679613,0.5367965367965367,0.031914893617021274,0.4294282287085165,0.30607533117345137,0.3790526647649262,0.4101928374655647
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
