,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7763599731363331,0.23850931677018633,0.12946428571428573,0.5468625893566322,0.3814445252069351,0.6343249824440439,0.4740295620942119
recall,0.6397343663530713,0.4247787610619469,0.18831168831168832,0.5706589307915458,0.4176082719089022,0.5706589307915458,0.5706589307915458
f1-score,0.7014563106796117,0.30548926014319805,0.15343915343915346,0.5585074021496654,0.38679490808732103,0.5923092949077553,0.5052493438320209
support,1807.0,452.0,154.0,2413.0,2413.0,2413.0,2413.0
