,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8031175872585564,0.45454545454545453,0.0,0.8005381769256643,0.4192210139346703,0.7094663343700649,0.7925407925407926
recall,0.9887359198998749,0.022123893805309734,0.0,0.7925407925407926,0.3369532712350615,0.7925407925407926,0.7925407925407926
f1-score,0.8863126402393418,0.042194092827004225,0.0,0.7965194109772423,0.30950224435544865,0.7138072356348678,0.7925407925407926
support,2397.0,452.0,154.0,3003.0,3003.0,3003.0,3003.0
