,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8335073068893528,0.5151515151515151,0.0,0.7945896377808345,0.44955294068028934,0.7203498076680466,0.7190357439733999
recall,0.8872222222222222,0.3008849557522124,0.0,0.7202826267664173,0.39603572599147824,0.7202826267664173,0.7202826267664173
f1-score,0.8595263724434877,0.37988826815642457,0.0,0.7556136908654895,0.4131382135333041,0.7144043921882717,0.7194513715710723
support,1800.0,452.0,154.0,2406.0,2406.0,2406.0,2406.0
