,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6830926083262532,0.306282722513089,0.0945945945945946,0.5682792406613595,0.36132330847797894,0.5392410303206162,0.44882396177875783
recall,0.6655629139072847,0.2588495575221239,0.045454545454545456,0.5115766262403528,0.3232890056279847,0.5115766262403528,0.5115766262403528
f1-score,0.6742138364779874,0.2805755395683453,0.06140350877192983,0.5384392225123296,0.33873096160608746,0.5241050709488302,0.46931275266446154
support,1208.0,452.0,154.0,1814.0,1814.0,1814.0,1814.0
