,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8361031518624642,0.20273348519362186,0.02877697841726619,0.5404561074664167,0.3558712051577841,0.6993238980167356,0.47623806351321335
recall,0.6089315525876461,0.5907079646017699,0.025974025974025976,0.5762824783477681,0.4085378477211474,0.5762824783477681,0.5762824783477681
f1-score,0.7046607099734363,0.30186546071226683,0.027303754266211604,0.5577946155086247,0.34460997498397156,0.6092654988325432,0.5091605596269154
support,2396.0,452.0,154.0,3002.0,3002.0,3002.0,3002.0
