,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8260401721664276,0.4972972972972973,0.0,0.8055835856037672,0.44111248982124157,0.7341980256614402,0.7907092907092907
recall,0.9607843137254902,0.20353982300884957,0.0,0.7975357975357975,0.38810804557811324,0.7975357975357975,0.7975357975357975
f1-score,0.8883317261330762,0.28885400313971743,0.0,0.8015394912985274,0.3923952430909312,0.7525451738128991,0.7929847929847929
support,2397.0,452.0,154.0,3003.0,3003.0,3003.0,3003.0
