,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7568,0.7571428571428571,0.8260869565217391,0.7614942528735632,0.7800099378881988,0.7657464154817515,0.6528925619834711
recall,0.7831125827814569,0.5862831858407079,0.37012987012987014,0.6570247933884298,0.5798418795840117,0.6570247933884298,0.6570247933884298
f1-score,0.7697314890154597,0.6608478802992518,0.5112107623318386,0.7054125998225377,0.6472633772155167,0.6961549740989277,0.6542699724517907
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
