,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8272727272727273,0.4930232558139535,0.0,0.803035413153457,0.44009866102889356,0.7345076502909266,0.7923051299133911
recall,0.9494991652754591,0.2345132743362832,0.0,0.7931379080612925,0.39467081320391406,0.7931379080612925,0.7931379080612925
f1-score,0.8841818888457054,0.3178410794602699,0.0,0.7980559745265629,0.40067432276865844,0.7535522896703372,0.7925827226293582
support,2396.0,452.0,154.0,3002.0,3002.0,3002.0,3002.0
