,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7519685039370079,0.26851851851851855,0.09734513274336283,0.6837476099426386,0.3726107183996297,0.6193557993801231,0.695390365448505
recall,0.9539400665926748,0.12831858407079647,0.07142857142857142,0.7425249169435216,0.3845624073640142,0.7425249169435216,0.7425249169435216
f1-score,0.8409980430528377,0.17365269461077842,0.08239700374531835,0.7119251443360541,0.3656825804696448,0.6672170390872361,0.7111018826135105
support,1802.0,452.0,154.0,2408.0,2408.0,2408.0,2408.0
