,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8262424025741866,0.5418994413407822,0.0,0.8091397849462365,0.45604728130498956,0.7410444184056577,0.7978014656895404
recall,0.9645242070116862,0.21460176991150443,0.0,0.8021319120586275,0.3930419923077302,0.8021319120586275,0.8021319120586275
f1-score,0.8900442903909109,0.3074484944532488,0.0,0.8056206088992975,0.3991642616147199,0.756666502088438,0.7992449478125695
support,2396.0,452.0,154.0,3002.0,3002.0,3002.0,3002.0
