,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7025045815516188,0.5952380952380952,0.0,0.6998213222156046,0.432580892263238,0.6160897126202002,0.6480970766685052
recall,0.9527754763877382,0.05530973451327434,0.0,0.6480970766685052,0.33602840363367087,0.6480970766685052,0.6480970766685052
f1-score,0.8087201125175809,0.10121457489878544,0.0,0.672966781214204,0.3033115624721221,0.5636371559089748,0.6480970766685052
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
