,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.5,0.4820359281437126,0.1324200913242009,0.4084656084656085,0.3714853398226378,0.44637359866187654,0.29618889809444904
recall,0.3261231281198003,0.3561946902654867,0.18831168831168832,0.31980115990057995,0.29020983556565844,0.31980115990057995,0.31980115990057995
f1-score,0.3947633434038268,0.40966921119592875,0.1554959785522788,0.3587360594795539,0.31997617771734477,0.36981742629934605,0.304059652029826
support,601.0,452.0,154.0,1207.0,1207.0,1207.0,1207.0
