,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7090687766281193,0.4482758620689655,0.0,0.7045454545454546,0.38578154623236155,0.5837514537906646,0.6501103752759382
recall,0.9660033167495854,0.028761061946902654,0.0,0.6501103752759382,0.33158812623216266,0.6501103752759382,0.6501103752759382
f1-score,0.8178308178308177,0.05405405405405406,0.0,0.6762342135476465,0.2906282906282906,0.5578015445565113,0.6501103752759382
support,1206.0,452.0,154.0,1812.0,1812.0,1812.0,1812.0
