,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.753336203185536,0.18803418803418803,0.1111111111111111,0.7129109863672815,0.3508271674436117,0.6067002184822381,0.7176251551510137
recall,0.9663169519602429,0.048672566371681415,0.03896103896103896,0.7356226727347952,0.35131685243098776,0.7356226727347952,0.7356226727347952
f1-score,0.8466376390904693,0.07732864674868191,0.05769230769230769,0.7240887802891468,0.32721953117715297,0.652502245803831,0.7236243276789408
support,1811.0,452.0,154.0,2417.0,2417.0,2417.0,2417.0
