,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8151589242053789,0.5822784810126582,0.0,0.7909728308501315,0.46581246840601237,0.7194721768377429,0.7427446102819237
recall,0.9230343300110742,0.3053097345132743,0.0,0.7483416252072969,0.40944802150811616,0.7483416252072969,0.7483416252072969
f1-score,0.8657491560633601,0.4005805515239477,0.0,0.7690668939071155,0.42210990252910263,0.7233023984822772,0.7446102819237148
support,1806.0,452.0,154.0,2412.0,2412.0,2412.0,2412.0
