,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8288973384030418,0.8023255813953488,0.0,0.8223495702005731,0.5437409732661301,0.7134753348645744,0.4743801652892562
recall,0.7218543046357616,0.3053097345132743,0.0,0.4743801652892562,0.34238801304967864,0.4743801652892562,0.4743801652892562
f1-score,0.7716814159292035,0.4423076923076923,0.0,0.6016771488469601,0.4046630360789652,0.5504286381357982,0.4743801652892562
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
