,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7246153846153847,0.7204610951008645,0.765625,0.7257304429783223,0.7369004932387497,0.7282829399118042,0.6305785123966943
recall,0.7798013245033113,0.5530973451327433,0.3181818181818182,0.6363636363636364,0.5503601626059577,0.6363636363636364,0.6363636363636364
f1-score,0.7511961722488039,0.6257822277847309,0.4495412844036697,0.6781153676794364,0.6088398948124015,0.6659548866075545,0.6325068870523415
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
