,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7032766990291263,0.6530612244897959,0.0,0.7018267530936948,0.45211264117297406,0.6309398651570872,0.6576477084483711
recall,0.9618257261410789,0.07079646017699115,0.0,0.6576477084483711,0.3442073954393567,0.6576477084483711,0.6576477084483711
f1-score,0.812478093235191,0.1277445109780439,0.0,0.6790193842645381,0.31340753473774496,0.5724884711819331,0.6576477084483711
support,1205.0,452.0,154.0,1811.0,1811.0,1811.0,1811.0
