,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7668798862828714,0.6197718631178707,0.8888888888888888,0.7444907683144729,0.7585135460965436,0.7405389475367348,0.6849806736609608
recall,0.8954356846473029,0.3606194690265487,0.05194805194805195,0.6902263942573164,0.43600106854063453,0.6902263942573164,0.6902263942573164
f1-score,0.826186830015314,0.45594405594405596,0.09815950920245399,0.7163323782234956,0.46009679838727463,0.6718710148384012,0.6867292471930794
support,1205.0,452.0,154.0,1811.0,1811.0,1811.0,1811.0
