,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8241797432239658,0.5329341317365269,0.0,0.8078088185796028,0.4523712916534976,0.7384480798125557,0.7944297082228117
recall,0.9589211618257262,0.19690265486725664,0.0,0.7957559681697612,0.38527460556432763,0.7957559681697612,0.7957559681697612
f1-score,0.8864595320291523,0.2875605815831987,0.0,0.8017370970435944,0.39134003787078364,0.7514406018122887,0.7948717948717948
support,2410.0,452.0,154.0,3016.0,3016.0,3016.0,3016.0
