,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7835875090777051,0.711864406779661,0.8333333333333334,0.7735384615384615,0.7762617497302332,0.7699316980995754,0.6908439051296195
recall,0.8939519469759735,0.37168141592920356,0.06493506493506493,0.6933259790402647,0.44352280928008064,0.6933259790402647,0.6933259790402647
f1-score,0.8351393188854489,0.48837209302325585,0.12048192771084336,0.731239092495637,0.48133111320651606,0.6879821074510306,0.6916712630998345
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
