,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8018741633199464,0.6666666666666666,0.0,0.8014681348014682,0.4895136099955377,0.7406664678164471,0.7964190981432361
recall,0.9941908713692946,0.01327433628318584,0.0,0.7964190981432361,0.33582173588416014,0.7964190981432361,0.7964190981432361
f1-score,0.8877361985920711,0.026030368763557483,0.0,0.7989356394478629,0.3045888557852095,0.7132659036100859,0.7964190981432361
support,2410.0,452.0,154.0,3016.0,3016.0,3016.0,3016.0
