,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.8207594936708861,0.5434782608695652,0.0,0.7867614393602843,0.45474591818015037,0.7166105159085718,0.732312784443525
recall,0.895085588072888,0.33185840707964603,0.0,0.7327265204799338,0.40898133171751133,0.7327265204799338,0.7327265204799338
f1-score,0.8563127311146329,0.4120879120879121,0.0,0.7587832047986289,0.4228002144008483,0.7186785652926506,0.7324506964556613
support,1811.0,452.0,154.0,2417.0,2417.0,2417.0,2417.0
