,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7425149700598802,0.7422360248447205,0.8461538461538461,0.7488151658767772,0.7769682803528156,0.755601171449317,0.6483471074380165
recall,0.8211920529801324,0.5287610619469026,0.35714285714285715,0.6528925619834711,0.5690319906899641,0.6528925619834711,0.6528925619834711
f1-score,0.7798742138364779,0.6175710594315246,0.502283105022831,0.6975717439293598,0.6332427927636112,0.6839154894163617,0.649862258953168
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
