,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.7251908396946565,0.69164265129683,0.8545454545454545,0.7209082308420057,0.7571263151789803,0.7291221037700327,0.6235537190082645
recall,0.7864238410596026,0.5309734513274337,0.3051948051948052,0.6297520661157024,0.5408640325272805,0.6297520661157024,0.6297520661157024
f1-score,0.7545671167593329,0.6007509386733417,0.4497607655502392,0.6722540802823115,0.6016929403276379,0.6583149757832433,0.6256198347107438
support,604.0,452.0,154.0,1210.0,1210.0,1210.0,1210.0
