,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.6720733427362482,0.32298136645962733,0.15384615384615385,0.6286604361370717,0.38296695434734307,0.5410217374598515,0.5405405405405406
recall,0.7895608947804474,0.11504424778761062,0.025974025974025976,0.5565361279646994,0.31019305618069465,0.5565361279646994,0.5565361279646994
f1-score,0.726095238095238,0.16965742251223492,0.04444444444444445,0.5904037448800469,0.31339903501730576,0.5294685889690717,0.5458724030152602
support,1207.0,452.0,154.0,1813.0,1813.0,1813.0,1813.0
