,None,Lives_In,Exhibits,micro avg,macro avg,weighted avg,samples avg
precision,0.761929732564237,0.2442528735632184,0.07142857142857142,0.6672436174816097,0.35920372585200894,0.6208907275566311,0.5998756734355574
recall,0.8040951853901495,0.18805309734513273,0.025974025974025976,0.6390385412349772,0.3393741029031027,0.6390385412349772,0.6390385412349772
f1-score,0.782444803446419,0.21250000000000002,0.03809523809523809,0.6528365791701947,0.34434668051388573,0.6281783781576236,0.6129299627020307
support,1807.0,452.0,154.0,2413.0,2413.0,2413.0,2413.0
